KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFD1_9-21-15_003

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/11/2015 4:12:51 PM
Test duration	00:00:54

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	6.28
Fitting Parameter b [s-1]	-1.97E-02
Fitting Parameter c [cm]	1
Fitting Parameter r2 [-]	0.9947
Ks Total [cm/d]	1140
Ks Total [m/s]	1.33E-04
Ks Soil [cm/d]	948
Ks Soil [m/s]	1.10E-04
Ks Soil normalized at 12.0 °C [cm/d]	749
Ks Soil normalized at 12.0 °C [m/s]	8.70E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/11/2015 4:12:51 PM	820	-2.89	-4.521	-99999.000	20.960
10/11/2015 4:12:53 PM	661	-1.04	-4.567	-99999.000	20.960
10/11/2015 4:12:54 PM	706	0.00	5.280	5.280	20.960
10/11/2015 4:12:56 PM	812	2.11	5.049	5.025	20.960
10/11/2015 4:12:58 PM	200	3.49	4.898	4.862	20.960
10/11/2015 4:12:59 PM	620	4.91	4.754	4.700	20.960
10/11/2015 4:13:01 PM	40	6.33	4.609	4.543	20.960
10/11/2015 4:13:03 PM	348	8.64	4.432	4.296	20.960
10/11/2015 4:13:04 PM	737	10.03	4.292	4.153	20.960
10/11/2015 4:13:06 PM	250	11.54	4.155	4.002	20.960
10/11/2015 4:13:08 PM	543	13.84	3.985	3.781	20.960
10/11/2015 4:13:09 PM	963	15.26	3.851	3.649	20.960
10/11/2015 4:13:11 PM	507	16.80	3.719	3.509	20.960
10/11/2015 4:13:13 PM	785	19.08	3.558	3.311	20.960
10/11/2015 4:13:15 PM	204	20.50	3.429	3.193	20.960
10/11/2015 4:13:16 PM	624	21.92	3.304	3.077	20.960
10/11/2015 4:13:18 PM	933	24.23	3.147	2.895	20.960
10/11/2015 4:13:20 PM	384	25.68	3.024	2.786	20.960
10/11/2015 4:13:21 PM	803	27.10	2.905	2.681	20.960
10/11/2015 4:13:24 PM	81	29.37	2.758	2.519	20.960
10/11/2015 4:13:25 PM	500	30.79	2.642	2.422	20.960
10/11/2015 4:13:27 PM	778	33.07	2.471	2.272	20.960
10/11/2015 4:13:29 PM	198	34.49	2.360	2.182	20.960
10/11/2015 4:13:31 PM	444	36.74	2.222	2.044	20.960
10/11/2015 4:13:32 PM	895	38.19	2.115	1.958	20.960
10/11/2015 4:13:34 PM	314	39.61	2.009	1.877	20.960
10/11/2015 4:13:36 PM	654	41.95	1.864	1.747	20.960
10/11/2015 4:13:38 PM	74	43.37	1.761	1.671	20.960
10/11/2015 4:13:39 PM	494	44.79	1.660	1.597	20.960
10/11/2015 4:13:41 PM	771	47.07	1.537	1.483	20.960
10/11/2015 4:13:44 PM	205	49.50	1.367	1.367	20.960
10/11/2015 4:13:46 PM	514	51.81	1.250	-99999.000	20.960

