KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	NKC6_9-24-15_001

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/19/2015 12:11:00 PM
Test duration	00:00:57

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5.95
Fitting Parameter b [s-1]	-1.88E-02
Fitting Parameter c [cm]	1
Fitting Parameter r2 [-]	0.9929
Ks Total [cm/d]	1090
Ks Total [m/s]	1.27E-04
Ks Soil [cm/d]	905
Ks Soil [m/s]	1.05E-04
Ks Soil normalized at 12.0 °C [cm/d]	748
Ks Soil normalized at 12.0 °C [m/s]	8.70E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/19/2015 12:11:00 PM	679	-5.35	0.412	-99999.000	19.070
10/19/2015 12:11:01 PM	771	-4.26	-1.300	-99999.000	19.070
10/19/2015 12:11:02 PM	863	-3.17	-3.503	-99999.000	19.070
10/19/2015 12:11:03 PM	893	-2.14	-4.194	-99999.000	19.070
10/19/2015 12:11:04 PM	985	-1.04	-1.930	-99999.000	19.070
10/19/2015 12:11:06 PM	30	0.00	4.951	4.951	19.070
10/19/2015 12:11:08 PM	136	2.11	4.758	4.719	19.070
10/19/2015 12:11:09 PM	556	3.53	4.622	4.568	19.070
10/19/2015 12:11:10 PM	975	4.94	4.487	4.422	19.070
10/19/2015 12:11:12 PM	395	6.37	4.355	4.278	19.070
10/19/2015 12:11:14 PM	704	8.67	4.191	4.054	19.070
10/19/2015 12:11:16 PM	139	10.11	4.063	3.919	19.070
10/19/2015 12:11:17 PM	558	11.53	3.936	3.789	19.070
10/19/2015 12:11:19 PM	867	13.84	3.781	3.585	19.070
10/19/2015 12:11:21 PM	318	15.29	3.660	3.462	19.080
10/19/2015 12:11:23 PM	596	17.57	3.482	3.274	19.080
10/19/2015 12:11:25 PM	873	19.84	3.339	3.095	19.080
10/19/2015 12:11:27 PM	324	21.29	3.225	2.984	19.080
10/19/2015 12:11:28 PM	744	22.71	3.112	2.879	19.080
10/19/2015 12:11:30 PM	163	24.13	3.000	2.777	19.090
10/19/2015 12:11:32 PM	441	26.41	2.863	2.618	19.090
10/19/2015 12:11:33 PM	860	27.83	2.754	2.523	19.090
10/19/2015 12:11:36 PM	107	30.08	2.619	2.377	19.090
10/19/2015 12:11:37 PM	526	31.50	2.513	2.288	19.090
10/19/2015 12:11:38 PM	977	32.95	2.406	2.199	19.090
10/19/2015 12:11:41 PM	271	35.24	2.274	2.064	19.100
10/19/2015 12:11:42 PM	690	36.66	2.170	1.983	19.100
10/19/2015 12:11:44 PM	141	38.11	2.068	1.902	19.100
10/19/2015 12:11:46 PM	434	40.40	1.941	1.780	19.100
10/19/2015 12:11:47 PM	854	41.82	1.841	1.706	19.100
10/19/2015 12:11:50 PM	178	44.15	1.693	1.590	19.110
10/19/2015 12:11:52 PM	456	46.43	1.534	1.481	19.110
10/19/2015 12:11:54 PM	765	48.74	1.415	1.376	19.110
10/19/2015 12:11:57 PM	89	51.06	1.274	1.274	19.110
10/19/2015 12:11:58 PM	665	52.64	1.157	-99999.000	19.110

