KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	NKB2_9-24-15_002

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/15/2015 3:30:53 PM
Test duration	00:00:47

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5.98
Fitting Parameter b [s-1]	-2.25E-02
Fitting Parameter c [cm]	1
Fitting Parameter r2 [-]	0.9949
Ks Total [cm/d]	1300
Ks Total [m/s]	1.51E-04
Ks Soil [cm/d]	1080
Ks Soil [m/s]	1.26E-04
Ks Soil normalized at 12.0 °C [cm/d]	853
Ks Soil normalized at 12.0 °C [m/s]	9.92E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/15/2015 3:30:53 PM	652	-3.48	-3.772	-99999.000	20.940
10/15/2015 3:30:54 PM	962	-2.17	-3.952	-99999.000	20.940
10/15/2015 3:30:55 PM	992	-1.14	-0.878	-99999.000	20.940
10/15/2015 3:30:57 PM	131	0.00	4.975	4.975	20.940
10/15/2015 3:30:59 PM	346	2.22	4.740	4.684	20.940
10/15/2015 3:31:00 PM	812	3.68	4.571	4.500	20.950
10/15/2015 3:31:02 PM	341	5.21	4.405	4.314	20.950
10/15/2015 3:31:07 PM	208	10.08	3.928	3.763	20.950
10/15/2015 3:31:08 PM	628	11.50	3.813	3.613	20.950
10/15/2015 3:31:10 PM	94	12.96	3.664	3.463	20.950
10/15/2015 3:31:11 PM	857	14.73	3.481	3.289	20.950
10/15/2015 3:31:13 PM	323	16.19	3.338	3.150	20.950
10/15/2015 3:31:15 PM	523	18.39	3.164	2.950	20.950
10/15/2015 3:31:17 PM	145	20.01	3.025	2.808	20.950
10/15/2015 3:31:18 PM	752	21.62	2.889	2.673	20.950
10/15/2015 3:31:20 PM	172	23.04	2.756	2.557	20.950
10/15/2015 3:31:21 PM	779	24.65	2.625	2.431	20.950
10/15/2015 3:31:23 PM	323	26.19	2.494	2.314	20.950
10/15/2015 3:31:24 PM	805	27.67	2.366	2.205	20.950
10/15/2015 3:31:27 PM	207	30.08	2.212	2.036	20.950
10/15/2015 3:31:28 PM	721	31.59	2.090	1.935	20.950
10/15/2015 3:31:30 PM	156	33.03	1.970	1.841	20.950
10/15/2015 3:31:31 PM	607	34.48	1.838	1.750	20.950
10/15/2015 3:31:33 PM	947	36.82	1.694	1.609	20.950
10/15/2015 3:31:35 PM	522	38.39	1.582	1.518	20.950
10/15/2015 3:31:37 PM	98	39.97	1.444	1.430	20.950
10/15/2015 3:31:39 PM	375	42.24	1.309	1.309	20.950
10/15/2015 3:31:40 PM	873	43.74	1.204	-99999.000	20.950

