KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	NKA2_9-24-15_003

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/15/2015 3:11:02 PM
Test duration	00:04:50

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.82
Fitting Parameter b [s-1]	-6.54E-03
Fitting Parameter c [cm]	-.5
Fitting Parameter r2 [-]	0.9999
Ks Total [cm/d]	378
Ks Total [m/s]	4.39E-05
Ks Soil [cm/d]	311
Ks Soil [m/s]	3.62E-05
Ks Soil normalized at 12.0 °C [cm/d]	247
Ks Soil normalized at 12.0 °C [m/s]	2.87E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/15/2015 3:11:02 PM	168	-3.51	0.442	-99999.000	20.750
10/15/2015 3:11:03 PM	510	-2.17	0.426	-99999.000	20.750
10/15/2015 3:11:04 PM	633	-1.05	2.916	-99999.000	20.750
10/15/2015 3:11:05 PM	678	0.00	5.315	5.315	20.750
10/15/2015 3:11:08 PM	440	2.76	5.194	5.229	20.750
10/15/2015 3:11:10 PM	780	5.10	5.088	5.157	20.750
10/15/2015 3:11:14 PM	992	9.31	4.964	5.031	20.750
10/15/2015 3:11:19 PM	188	13.51	4.854	4.908	20.750
10/15/2015 3:11:23 PM	338	17.66	4.738	4.790	20.750
10/15/2015 3:11:28 PM	236	22.56	4.613	4.655	20.750
10/15/2015 3:11:33 PM	119	27.44	4.491	4.524	20.750
10/15/2015 3:11:37 PM	284	31.61	4.381	4.416	20.750
10/15/2015 3:11:42 PM	245	36.57	4.264	4.291	20.750
10/15/2015 3:11:47 PM	175	41.50	4.142	4.171	20.750
10/15/2015 3:11:52 PM	120	46.44	4.032	4.054	20.760
10/15/2015 3:11:57 PM	112	51.43	3.916	3.940	20.760
10/15/2015 3:12:02 PM	182	56.50	3.812	3.828	20.760
10/15/2015 3:12:07 PM	143	61.46	3.703	3.722	20.760
10/15/2015 3:12:12 PM	961	67.28	3.582	3.602	20.760
10/15/2015 3:12:18 PM	796	73.12	3.464	3.486	20.760
10/15/2015 3:12:24 PM	646	78.97	3.359	3.374	20.760
10/15/2015 3:12:30 PM	449	84.77	3.250	3.267	20.770
10/15/2015 3:12:36 PM	283	90.60	3.143	3.163	20.770
10/15/2015 3:12:43 PM	69	97.39	3.028	3.048	20.770
10/15/2015 3:12:49 PM	902	104.22	2.919	2.936	20.770
10/15/2015 3:12:56 PM	641	110.96	2.814	2.831	20.770
10/15/2015 3:13:03 PM	271	117.59	2.713	2.733	20.770
10/15/2015 3:13:10 PM	853	125.17	2.606	2.625	20.770
10/15/2015 3:13:19 PM	246	133.57	2.493	2.511	20.770
10/15/2015 3:13:27 PM	654	141.98	2.387	2.404	20.780
10/15/2015 3:13:36 PM	78	150.40	2.283	2.302	20.780
10/15/2015 3:13:45 PM	282	159.60	2.179	2.197	20.770
10/15/2015 3:13:55 PM	344	169.67	2.074	2.089	20.780
10/15/2015 3:14:06 PM	342	180.66	1.965	1.978	20.780
10/15/2015 3:14:17 PM	496	191.82	1.864	1.874	20.780
10/15/2015 3:14:28 PM	510	202.83	1.756	1.779	20.780
10/15/2015 3:14:42 PM	129	216.45	1.650	1.670	20.780
10/15/2015 3:14:57 PM	432	231.75	1.550	1.559	20.780
10/15/2015 3:15:13 PM	485	247.81	1.447	1.453	20.790
10/15/2015 3:15:32 PM	283	266.61	1.343	1.343	20.790
10/15/2015 3:15:52 PM	641	286.96	1.239	-99999.000	20.790

