KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	NKC5_9-24-15_003

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/16/2015 5:43:26 PM
Test duration	00:03:15

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5.96
Fitting Parameter b [s-1]	-5.18E-03
Fitting Parameter c [cm]	1
Fitting Parameter r2 [-]	0.9996
Ks Total [cm/d]	300
Ks Total [m/s]	3.48E-05
Ks Soil [cm/d]	247
Ks Soil [m/s]	2.87E-05
Ks Soil normalized at 12.0 °C [cm/d]	196
Ks Soil normalized at 12.0 °C [m/s]	2.28E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/16/2015 5:43:26 PM	422	-2.17	-1.787	-99999.000	20.750
10/16/2015 5:43:27 PM	451	-1.14	4.928	-99999.000	20.750
10/16/2015 5:43:28 PM	590	0.00	4.964	4.964	20.750
10/16/2015 5:43:31 PM	632	3.04	4.853	4.871	20.750
10/16/2015 5:43:35 PM	704	7.11	4.746	4.748	20.750
10/16/2015 5:43:39 PM	697	11.11	4.623	4.630	20.750
10/16/2015 5:43:44 PM	565	15.98	4.492	4.490	20.750
10/16/2015 5:43:48 PM	574	19.98	4.386	4.377	20.750
10/16/2015 5:43:52 PM	552	23.96	4.281	4.267	20.750
10/16/2015 5:43:56 PM	545	27.96	4.180	4.159	20.750
10/16/2015 5:44:01 PM	444	32.85	4.060	4.030	20.750
10/16/2015 5:44:06 PM	295	37.71	3.934	3.905	20.750
10/16/2015 5:44:11 PM	178	42.59	3.819	3.782	20.750
10/16/2015 5:44:16 PM	61	47.47	3.699	3.663	20.750
10/16/2015 5:44:20 PM	975	52.38	3.590	3.546	20.750
10/16/2015 5:44:25 PM	873	57.28	3.484	3.432	20.750
10/16/2015 5:44:30 PM	756	62.17	3.378	3.321	20.750
10/16/2015 5:44:35 PM	623	67.03	3.267	3.213	20.750
10/16/2015 5:44:41 PM	395	72.81	3.143	3.089	20.740
10/16/2015 5:44:47 PM	121	78.53	3.036	2.969	20.740
10/16/2015 5:44:52 PM	846	84.26	2.916	2.853	20.740
10/16/2015 5:44:58 PM	633	90.04	2.800	2.739	20.740
10/16/2015 5:45:04 PM	390	95.80	2.687	2.630	20.740
10/16/2015 5:45:10 PM	162	101.57	2.583	2.523	20.740
10/16/2015 5:45:15 PM	903	107.31	2.475	2.419	20.740
10/16/2015 5:45:22 PM	533	113.94	2.362	2.304	20.740
10/16/2015 5:45:28 PM	305	119.71	2.260	2.206	20.740
10/16/2015 5:45:34 PM	61	125.47	2.153	2.112	20.750
10/16/2015 5:45:40 PM	707	132.12	2.045	2.007	20.740
10/16/2015 5:45:47 PM	368	138.78	1.938	1.905	20.740
10/16/2015 5:45:53 PM	982	145.39	1.834	1.807	20.740
10/16/2015 5:46:01 PM	455	152.87	1.724	1.700	20.750
10/16/2015 5:46:08 PM	927	160.34	1.616	1.597	20.750
10/16/2015 5:46:17 PM	242	168.65	1.501	1.488	20.740
10/16/2015 5:46:24 PM	699	176.11	1.401	1.394	20.740
10/16/2015 5:46:33 PM	60	184.47	1.292	1.292	20.740
10/16/2015 5:46:42 PM	280	193.69	1.180	-99999.000	20.750

