KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	NKA5_9-24-15_003

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/16/2015 1:13:56 PM
Test duration	00:05:39

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.83
Fitting Parameter b [s-1]	-4.41E-03
Fitting Parameter c [cm]	-.1
Fitting Parameter r2 [-]	1.0000
Ks Total [cm/d]	255
Ks Total [m/s]	2.97E-05
Ks Soil [cm/d]	210
Ks Soil [m/s]	2.44E-05
Ks Soil normalized at 12.0 °C [cm/d]	165
Ks Soil normalized at 12.0 °C [m/s]	1.92E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/16/2015 1:13:56 PM	688	-5.38	3.166	-99999.000	21.110
10/16/2015 1:13:57 PM	874	-4.20	1.990	-99999.000	21.110
10/16/2015 1:13:58 PM	950	-3.12	1.399	-99999.000	21.110
10/16/2015 1:13:59 PM	996	-2.07	4.074	-99999.000	21.110
10/16/2015 1:14:01 PM	41	-1.03	4.975	-99999.000	21.110
10/16/2015 1:14:02 PM	70	0.00	4.934	4.934	21.110
10/16/2015 1:14:06 PM	829	4.76	4.813	4.834	21.110
10/16/2015 1:14:11 PM	727	9.66	4.711	4.732	21.110
10/16/2015 1:14:17 PM	515	15.45	4.593	4.616	21.110
10/16/2015 1:14:23 PM	209	21.14	4.486	4.503	21.110
10/16/2015 1:14:28 PM	934	26.86	4.380	4.394	21.110
10/16/2015 1:14:34 PM	675	32.61	4.272	4.286	21.110
10/16/2015 1:14:41 PM	258	39.19	4.159	4.166	21.110
10/16/2015 1:14:47 PM	872	45.80	4.043	4.049	21.110
10/16/2015 1:14:53 PM	597	51.53	3.943	3.951	21.110
10/16/2015 1:15:00 PM	149	58.08	3.837	3.841	21.110
10/16/2015 1:15:06 PM	748	64.68	3.726	3.734	21.110
10/16/2015 1:15:13 PM	363	71.29	3.624	3.629	21.110
10/16/2015 1:15:20 PM	8	77.94	3.514	3.527	21.120
10/16/2015 1:15:27 PM	481	85.41	3.401	3.416	21.120
10/16/2015 1:15:34 PM	891	92.82	3.297	3.309	21.120
10/16/2015 1:15:42 PM	394	100.32	3.191	3.205	21.120
10/16/2015 1:15:49 PM	867	107.80	3.090	3.104	21.120
10/16/2015 1:15:58 PM	213	116.14	2.981	2.996	21.120
10/16/2015 1:16:06 PM	543	124.47	2.876	2.891	21.120
10/16/2015 1:16:15 PM	747	133.68	2.767	2.780	21.130
10/16/2015 1:16:24 PM	951	142.88	2.662	2.673	21.120
10/16/2015 1:16:34 PM	93	152.02	2.556	2.572	21.120
10/16/2015 1:16:44 PM	950	162.88	2.444	2.456	21.120
10/16/2015 1:16:55 PM	870	173.80	2.332	2.345	21.120
10/16/2015 1:17:06 PM	775	184.71	2.230	2.240	21.120
10/16/2015 1:17:17 PM	664	195.59	2.128	2.139	21.120
10/16/2015 1:17:30 PM	284	208.21	2.024	2.029	21.120
10/16/2015 1:17:42 PM	920	220.85	1.922	1.924	21.120
10/16/2015 1:17:53 PM	840	231.77	1.822	1.838	21.130
10/16/2015 1:18:08 PM	192	246.12	1.718	1.732	21.130
10/16/2015 1:18:23 PM	402	261.33	1.616	1.626	21.120
10/16/2015 1:18:39 PM	392	277.32	1.516	1.522	21.120
10/16/2015 1:18:56 PM	303	294.23	1.416	1.420	21.120
10/16/2015 1:19:15 PM	771	313.70	1.311	1.311	21.120
10/16/2015 1:19:36 PM	285	334.22	1.208	-99999.000	21.120

