KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFB5_9-21-15_001

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/11/2015 3:12:23 PM
Test duration	00:00:56

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5.91
Fitting Parameter b [s-1]	-1.80E-02
Fitting Parameter c [cm]	1
Fitting Parameter r2 [-]	0.9976
Ks Total [cm/d]	1040
Ks Total [m/s]	1.21E-04
Ks Soil [cm/d]	863
Ks Soil [m/s]	1.00E-04
Ks Soil normalized at 12.0 °C [cm/d]	686
Ks Soil normalized at 12.0 °C [m/s]	7.98E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/11/2015 3:12:23 PM	347	-2.01	-2.569	-99999.000	20.650
10/11/2015 3:12:24 PM	361	-1.00	-2.642	-99999.000	20.650
10/11/2015 3:12:25 PM	360	0.00	4.914	4.914	20.650
10/11/2015 3:12:27 PM	497	2.14	4.628	4.691	20.650
10/11/2015 3:12:28 PM	885	3.53	4.484	4.551	20.650
10/11/2015 3:12:30 PM	305	4.94	4.380	4.411	20.650
10/11/2015 3:12:31 PM	662	6.30	4.244	4.281	20.660
10/11/2015 3:12:33 PM	955	8.60	4.046	4.068	20.660
10/11/2015 3:12:36 PM	202	10.84	3.886	3.867	20.660
10/11/2015 3:12:38 PM	448	13.09	3.700	3.674	20.660
10/11/2015 3:12:39 PM	836	14.48	3.578	3.559	20.660
10/11/2015 3:12:42 PM	83	16.72	3.431	3.379	20.660
10/11/2015 3:12:43 PM	471	18.11	3.316	3.271	20.660
10/11/2015 3:12:45 PM	718	20.36	3.176	3.102	20.660
10/11/2015 3:12:47 PM	964	22.60	3.011	2.940	20.660
10/11/2015 3:12:49 PM	415	24.05	2.906	2.838	20.660
10/11/2015 3:12:51 PM	692	26.33	2.784	2.684	20.660
10/11/2015 3:12:53 PM	81	27.72	2.683	2.593	20.660
10/11/2015 3:12:55 PM	327	29.97	2.559	2.451	20.660
10/11/2015 3:12:57 PM	574	32.21	2.395	2.315	20.660
10/11/2015 3:12:59 PM	851	34.49	2.279	2.182	20.660
10/11/2015 3:13:02 PM	98	36.74	2.173	2.056	20.660
10/11/2015 3:13:04 PM	422	39.06	2.013	1.931	20.660
10/11/2015 3:13:06 PM	700	41.34	1.898	1.813	20.660
10/11/2015 3:13:09 PM	71	43.71	1.741	1.696	20.660
10/11/2015 3:13:11 PM	364	46.00	1.631	1.587	20.670
10/11/2015 3:13:12 PM	784	47.42	1.530	1.522	20.670
10/11/2015 3:13:15 PM	77	49.72	1.425	1.420	20.670
10/11/2015 3:13:17 PM	354	51.99	1.323	1.323	20.670
10/11/2015 3:13:19 PM	601	54.24	1.183	-99999.000	20.670

