KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFA1_9-21-15_002

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/5/2015 11:14:17 AM
Test duration	00:04:44

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.76
Fitting Parameter b [s-1]	-6.64E-03
Fitting Parameter c [cm]	-.5
Fitting Parameter r2 [-]	0.9999
Ks Total [cm/d]	384
Ks Total [m/s]	4.46E-05
Ks Soil [cm/d]	316
Ks Soil [m/s]	3.67E-05
Ks Soil normalized at 12.0 °C [cm/d]	271
Ks Soil normalized at 12.0 °C [m/s]	3.15E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/5/2015 11:14:17 AM	634	-2.18	2.174	-99999.000	17.600
10/5/2015 11:14:18 AM	679	-1.14	1.914	-99999.000	17.600
10/5/2015 11:14:19 AM	818	0.00	5.264	5.264	17.600
10/5/2015 11:14:21 AM	986	2.17	5.152	5.196	17.610
10/5/2015 11:14:25 AM	231	5.41	5.039	5.096	17.610
10/5/2015 11:14:29 AM	256	9.44	4.907	4.975	17.610
10/5/2015 11:14:33 AM	421	13.60	4.778	4.853	17.620
10/5/2015 11:14:37 AM	446	17.63	4.674	4.738	17.620
10/5/2015 11:14:41 AM	564	21.75	4.553	4.624	17.620
10/5/2015 11:14:45 AM	558	25.74	4.448	4.516	17.620
10/5/2015 11:14:49 AM	676	29.86	4.344	4.408	17.620
10/5/2015 11:14:53 AM	670	33.85	4.243	4.305	17.630
10/5/2015 11:14:57 AM	710	37.89	4.138	4.205	17.630
10/5/2015 11:15:02 AM	593	42.77	4.024	4.087	17.630
10/5/2015 11:15:07 AM	445	47.63	3.916	3.973	17.630
10/5/2015 11:15:12 AM	343	52.52	3.801	3.862	17.640
10/5/2015 11:15:18 AM	53	58.24	3.686	3.737	17.640
10/5/2015 11:15:23 AM	60	63.24	3.580	3.631	17.640
10/5/2015 11:15:28 AM	801	68.98	3.463	3.514	17.640
10/5/2015 11:15:35 AM	369	75.55	3.345	3.385	17.640
10/5/2015 11:15:41 AM	94	81.28	3.238	3.278	17.650
10/5/2015 11:15:47 AM	724	87.91	3.128	3.158	17.650
10/5/2015 11:15:54 AM	338	94.52	3.017	3.044	17.650
10/5/2015 11:16:01 AM	826	102.01	2.898	2.921	17.650
10/5/2015 11:16:09 AM	330	109.51	2.786	2.803	17.650
10/5/2015 11:16:16 AM	818	117.00	2.684	2.691	17.670
10/5/2015 11:16:24 AM	306	124.49	2.581	2.585	17.660
10/5/2015 11:16:32 AM	636	132.82	2.474	2.473	17.660
10/5/2015 11:16:40 AM	982	141.16	2.363	2.367	17.670
10/5/2015 11:16:50 AM	186	150.37	2.259	2.256	17.670
10/5/2015 11:16:59 AM	500	159.68	2.152	2.151	17.670
10/5/2015 11:17:08 AM	813	169.00	2.050	2.052	17.670
10/5/2015 11:17:19 AM	670	179.85	1.945	1.944	17.680
10/5/2015 11:17:30 AM	544	190.73	1.845	1.843	17.680
10/5/2015 11:17:42 AM	244	202.43	1.745	1.743	17.690
10/5/2015 11:17:53 AM	944	214.13	1.641	1.650	17.690
10/5/2015 11:18:08 AM	327	228.51	1.538	1.545	17.690
10/5/2015 11:18:24 AM	379	244.56	1.436	1.440	17.700
10/5/2015 11:18:42 AM	195	262.38	1.335	1.335	17.700
10/5/2015 11:19:02 AM	506	282.69	1.235	-99999.000	17.720

