KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	Schreiber1_000

MEASUREMENT
Mode	ConstantHead
Sample rate [s]	1
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
3/29/2016 10:33:42 AM	-46.88	4.370	21.030
3/29/2016 10:33:43 AM	-45.90	4.561	21.030
3/29/2016 10:33:44 AM	-44.90	4.302	21.030
3/29/2016 10:33:45 AM	-43.87	4.433	21.030
3/29/2016 10:33:47 AM	-42.85	4.332	21.030
3/29/2016 10:33:48 AM	-41.84	4.469	21.030
3/29/2016 10:33:49 AM	-40.83	4.441	21.030
3/29/2016 10:33:50 AM	-39.75	4.416	21.030
3/29/2016 10:33:51 AM	-38.72	4.531	21.030
3/29/2016 10:33:52 AM	-37.67	4.397	21.030
3/29/2016 10:33:53 AM	-36.66	4.445	21.030
3/29/2016 10:33:54 AM	-35.61	4.452	21.030
3/29/2016 10:33:55 AM	-34.63	4.316	21.030
3/29/2016 10:33:56 AM	-33.62	4.563	21.030
3/29/2016 10:33:57 AM	-31.95	4.500	21.030
3/29/2016 10:33:58 AM	-30.93	4.387	21.030
3/29/2016 10:33:59 AM	-29.92	4.463	21.030
3/29/2016 10:34:00 AM	-28.88	4.444	21.030
3/29/2016 10:34:02 AM	-27.86	4.300	21.030
3/29/2016 10:34:03 AM	-26.85	4.538	21.030
3/29/2016 10:34:04 AM	-25.83	4.397	21.030
3/29/2016 10:34:05 AM	-24.76	4.346	21.030
3/29/2016 10:34:06 AM	-23.74	4.451	21.030
3/29/2016 10:34:07 AM	-22.67	4.306	21.030
3/29/2016 10:34:08 AM	-21.53	4.455	21.030
3/29/2016 10:34:09 AM	-20.48	4.486	21.030
3/29/2016 10:34:10 AM	-19.38	4.338	21.030
3/29/2016 10:34:11 AM	-18.21	4.481	21.030
3/29/2016 10:34:12 AM	-17.19	4.330	21.030
3/29/2016 10:34:13 AM	-16.18	4.425	21.030
3/29/2016 10:34:14 AM	-15.15	4.527	21.030
3/29/2016 10:34:15 AM	-14.13	4.325	21.030
3/29/2016 10:34:17 AM	-12.82	4.350	21.030
3/29/2016 10:34:18 AM	-11.79	4.517	21.030
3/29/2016 10:34:19 AM	-10.70	4.424	21.030
3/29/2016 10:34:20 AM	-9.67	4.460	21.030
3/29/2016 10:34:21 AM	-8.60	4.481	21.020
3/29/2016 10:34:22 AM	-7.57	4.373	21.020
3/29/2016 10:34:23 AM	-6.46	4.488	21.020
3/29/2016 10:34:24 AM	-5.38	4.434	21.020
3/29/2016 10:34:25 AM	-4.31	4.302	21.020
3/29/2016 10:34:26 AM	-3.29	4.515	21.020
3/29/2016 10:34:27 AM	-2.26	4.387	21.020
3/29/2016 10:34:28 AM	-1.25	4.352	21.020
3/29/2016 10:34:29 AM	-0.19	4.443	21.020
3/29/2016 10:34:30 AM	0.84	4.300	21.020
3/29/2016 10:34:32 AM	2.48	4.327	21.020
3/29/2016 10:34:33 AM	3.99	4.349	21.020
3/29/2016 10:34:35 AM	5.74	4.393	21.020
3/29/2016 10:34:37 AM	7.24	4.467	21.020
3/29/2016 10:34:38 AM	8.95	4.452	21.020
3/29/2016 10:34:40 AM	10.53	4.450	21.020
3/29/2016 10:34:41 AM	12.07	4.423	21.040
3/29/2016 10:34:43 AM	13.71	4.398	21.040
3/29/2016 10:34:45 AM	15.27	4.357	21.040
3/29/2016 10:34:46 AM	16.91	4.423	21.040
3/29/2016 10:34:48 AM	18.44	4.318	21.040
3/29/2016 10:34:49 AM	19.98	4.345	21.040
3/29/2016 10:34:51 AM	21.57	4.305	21.030
3/29/2016 10:34:52 AM	23.06	4.473	21.030
3/29/2016 10:34:54 AM	24.63	4.453	21.030
3/29/2016 10:34:55 AM	26.05	4.507	21.030
3/29/2016 10:34:57 AM	27.58	4.562	21.030
3/29/2016 10:34:58 AM	29.03	4.475	21.030
3/29/2016 10:35:00 AM	30.56	4.451	21.030
3/29/2016 10:35:01 AM	32.01	4.375	21.050
3/29/2016 10:35:03 AM	33.55	4.476	21.050
