KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFA4_9-21-15_003

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/7/2015 9:17:01 PM
Test duration	00:01:11

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5.45
Fitting Parameter b [s-1]	-1.45E-02
Fitting Parameter c [cm]	1
Fitting Parameter r2 [-]	0.9992
Ks Total [cm/d]	838
Ks Total [m/s]	9.74E-05
Ks Soil [cm/d]	694
Ks Soil [m/s]	8.07E-05
Ks Soil normalized at 12.0 °C [cm/d]	532
Ks Soil normalized at 12.0 °C [m/s]	6.19E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/7/2015 9:17:01 PM	186	-2.73	-1.441	-99999.000	22.260
10/7/2015 9:17:02 PM	215	-1.70	-1.451	-99999.000	22.260
10/7/2015 9:17:03 PM	916	0.00	4.446	4.446	22.260
10/7/2015 9:17:06 PM	22	2.11	4.318	4.282	22.260
10/7/2015 9:17:07 PM	597	3.68	4.178	4.163	22.260
10/7/2015 9:17:09 PM	844	5.93	4.015	3.998	22.260
10/7/2015 9:17:12 PM	293	8.38	3.859	3.823	22.260
10/7/2015 9:17:13 PM	900	9.98	3.756	3.712	22.260
10/7/2015 9:17:16 PM	209	12.29	3.629	3.557	22.260
10/7/2015 9:17:18 PM	642	14.73	3.459	3.399	22.260
10/7/2015 9:17:21 PM	107	17.19	3.340	3.245	22.260
10/7/2015 9:17:22 PM	683	18.77	3.222	3.149	22.260
10/7/2015 9:17:25 PM	147	21.23	3.084	3.003	22.260
10/7/2015 9:17:27 PM	565	23.65	2.951	2.865	22.260
10/7/2015 9:17:29 PM	843	25.93	2.842	2.740	22.260
10/7/2015 9:17:32 PM	308	28.39	2.693	2.608	22.260
10/7/2015 9:17:34 PM	726	30.81	2.549	2.484	22.260
10/7/2015 9:17:38 PM	33	34.12	2.390	2.321	22.260
10/7/2015 9:17:41 PM	247	37.33	2.238	2.170	22.260
10/7/2015 9:17:43 PM	696	39.78	2.128	2.059	22.260
10/7/2015 9:17:46 PM	176	42.26	2.021	1.951	22.260
10/7/2015 9:17:48 PM	625	44.71	1.916	1.848	22.260
10/7/2015 9:17:51 PM	90	47.17	1.798	1.748	22.260
10/7/2015 9:17:54 PM	397	50.48	1.669	1.620	22.260
10/7/2015 9:17:56 PM	800	52.88	1.561	1.530	22.260
10/7/2015 9:18:00 PM	107	56.19	1.439	1.412	22.260
10/7/2015 9:18:02 PM	556	58.64	1.337	1.328	22.260
10/7/2015 9:18:05 PM	848	61.93	1.227	1.219	22.260
10/7/2015 9:18:09 PM	30	65.11	1.119	1.119	22.260
10/7/2015 9:18:12 PM	259	68.34	1.015	-99999.000	22.270

