Column.ID,Texture,Size,Structure,Point,time.elapsed_seconds
4_16,Clay,60 cm,Structure,3,517
4_16,Clay,60 cm,Structure,4,799
4_16,Clay,60 cm,Structure,5,1041
4_16,Clay,60 cm,Structure,6,1263
4_16,Clay,60 cm,Structure,7,1726
4_16,Clay,60 cm,Structure,8,2040
4_8,Clay,60 cm,Structure,1,0
4_8,Clay,60 cm,Structure,2,206
4_8,Clay,60 cm,Structure,3,532
4_8,Clay,60 cm,Structure,4,811
4_8,Clay,60 cm,Structure,5,1120
4_8,Clay,60 cm,Structure,6,1489
4_8,Clay,60 cm,Structure,7,1807
4_8,Clay,60 cm,Structure,8,2157
4_3,Clay,60 cm,Structure,1,0
4_3,Clay,60 cm,Structure,2,59
4_3,Clay,60 cm,Structure,3,132
4_3,Clay,60 cm,Structure,4,271
4_3,Clay,60 cm,Structure,5,463
4_3,Clay,60 cm,Structure,6,610
4_3,Clay,60 cm,Structure,7,862
4_3,Clay,60 cm,Structure,8,1039
4_1,Clay,60 cm,Structure,1,0
4_1,Clay,60 cm,Structure,2,163
4_1,Clay,60 cm,Structure,3,344
4_1,Clay,60 cm,Structure,4,509
4_1,Clay,60 cm,Structure,5,774
4_1,Clay,60 cm,Structure,6,984
4_1,Clay,60 cm,Structure,7,1285
4_5,Sand,60 cm,NA,1,0
4_5,Sand,60 cm,NA,2,74
4_5,Sand,60 cm,NA,3,154
4_5,Sand,60 cm,NA,4,259
4_5,Sand,60 cm,NA,5,323
4_5,Sand,60 cm,NA,6,461
4_5,Sand,60 cm,NA,7,614
4_5,Sand,60 cm,NA,8,751
4_6,Sand,60 cm,NA,1,0
4_6,Sand,60 cm,NA,2,110
4_6,Sand,60 cm,NA,3,235
4_6,Sand,60 cm,NA,4,398
4_6,Sand,60 cm,NA,5,533
4_6,Sand,60 cm,NA,6,701
4_6,Sand,60 cm,NA,7,795
4_6,Sand,60 cm,NA,8,926
4_10,Sand,60 cm,NA,1,0
4_10,Sand,60 cm,NA,2,294
4_10,Sand,60 cm,NA,3,540
4_10,Sand,60 cm,NA,4,746
4_10,Sand,60 cm,NA,5,1046
4_10,Sand,60 cm,NA,6,1200
4_10,Sand,60 cm,NA,7,1482
4_10,Sand,60 cm,NA,8,1761
4_12,Sand,60 cm,NA,1,0
4_12,Sand,60 cm,NA,2,396
4_12,Sand,60 cm,NA,3,590
4_12,Sand,60 cm,NA,4,784
4_12,Sand,60 cm,NA,5,1012
4_12,Sand,60 cm,NA,6,1199
4_12,Sand,60 cm,NA,7,1425
4_12,Sand,60 cm,NA,8,1608
4_14,Sand,60 cm,NA,1,0
4_14,Sand,60 cm,NA,2,281
4_14,Sand,60 cm,NA,3,558
4_14,Sand,60 cm,NA,4,794
4_14,Sand,60 cm,NA,5,1040
4_14,Sand,60 cm,NA,6,1191
4_14,Sand,60 cm,NA,7,1510
4_14,Sand,60 cm,NA,8,1835
2_4,Sand,60 cm,NA,1,0
2_4,Sand,60 cm,NA,2,281
2_4,Sand,60 cm,NA,3,444
2_4,Sand,60 cm,NA,4,571
2_4,Sand,60 cm,NA,5,730
2_4,Sand,60 cm,NA,6,871
2_4,Sand,60 cm,NA,7,1046
2_4,Sand,60 cm,NA,8,1235
