Cup Number,Detection Date,Sample ID,Analyte Name,Concentration Units,Peak Concentration,Calibration equation,Peak Area,Analyte Name,Concentration Units,Peak Concentration,Calibration equation,Peak Area,,,,,,,,,,,,,,,
12,3/17/2016,jrad_CEC 012,Nitrate,mg/L,0.028,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.06,Ammonia,mg N/L as NH3,33.079,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,194.533,,,KF-Bt-6,,4.594305556,,5.4,,,,KF-Ap,4.963888889,,,
13,3/17/2016,jrad_CEC 013,Nitrate,mg/L,0.073,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.094,Ammonia,mg N/L as NH3,25.68,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,156.164,,,NK-Ap-1,,3.566666667,,3.5625,,,,KF-Ap,4.513888889,,,
14,3/17/2016,jrad_CEC 014,Nitrate,mg/L,-0.014,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.03,Ammonia,mg N/L as NH3,25.702,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,156.281,,,NK-Ap-2,,3.569722222,,3.548611111,,,,KF-Ap,4.415277778,,,
15,3/17/2016,jrad_CEC 015,Nitrate,mg/L,0.006437,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.045,Ammonia,mg N/L as NH3,25.515,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,155.284,,,NK-Ap-3,,3.54375,,3.4,,,,KF-Ap,4.201388889,,,
16,3/17/2016,jrad_CEC 016,Nitrate,mg/L,-0.014,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.03,Ammonia,mg N/L as NH3,22.702,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,140.071,,,NK-Ap-4,,3.153055556,,3.008333333,,,,KF-Bt,4.309722222,,,
17,3/17/2016,jrad_CEC 017,Nitrate,mg/L,-0.001758,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.039,Ammonia,mg N/L as NH3,29.215,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,174.766,,,NK-Ap-5,,4.057638889,,4.345833333,,,,KF-Bt,4.465277778,,,
18,3/17/2016,jrad_CEC 018,Nitrate,mg/L,0.014,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.05,Ammonia,mg N/L as NH3,22.171,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,137.162,,,NK-Ap-6,,3.079305556,,2.991666667,,,,KF-Bt,3.613888889,,,
19,3/17/2016,jrad_CEC 019,Nitrate,mg/L,-0.004174,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.037,Ammonia,mg N/L as NH3,17.003,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,108.096,,,NK-Bt-1,,2.361527778,,2.361527778,,,,KF-Bt,3.759722222,,,
20,3/17/2016,jrad_CEC 020,Nitrate,mg/L,-0.006085,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.035,Ammonia,mg N/L as NH3,14.315,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,92.422,,,NK-Bt-2,,1.988194444,,1.988194444,,,,KF-Bt,5.288888889,,,
21,3/17/2016,jrad_CEC 021,Nitrate,mg/L,0.052,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.078,Ammonia,mg N/L as NH3,10.032,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,66.545,,,NK-Bt-3,,1.393333333,,1.393333333,,,,KF-Bt,5.4,,,
