Sample.ID,Interval,Texture,Stage,Combo,TMX.ng
nk-v5-ctr-5,45-60 cm,Sand,V5.Ctr,Sandy-V5-Ctr,5699.883728
kf-v1-1,45-60 cm,Clay,V1,Clay-V1,2198.831079
kf-v1-2,45-60 cm,Clay,V1,Clay-V1,1588.68559
kf-v1-3,45-60 cm,Clay,V1,Clay-V1,1366.901037
kf-v1-4,45-60 cm,Clay,V1,Clay-V1,1479.982603
kf-v3-2,45-60 cm,Clay,V3,Clay-V3,849.990714
kf-v3-3,45-60 cm,Clay,V3,Clay-V3,1088.242622
kf-v3-4,45-60 cm,Clay,V3,Clay-V3,809.075913
kf-v5-1  ,45-60 cm,Clay,V5,Clay-V5,15832.67327
kf-v5-2,45-60 cm,Clay,V5,Clay-V5,4193.800672
kf-v5-4 ,45-60 cm,Clay,V5,Clay-V5,4818.240357
kf-v5-5,45-60 cm,Clay,V5,Clay-V5,15969.27239
kf-v5-ctr-1,45-60 cm,Clay,V5.Ctr,Clay-V5-Ctr,12283.75886
kf-v5-ctr-2,45-60 cm,Clay,V5.Ctr,Clay-V5-Ctr,6755.098441
kf-v5-ctr-4 ,45-60 cm,Clay,V5.Ctr,Clay-V5-Ctr,14625.95768
kf-v5-ctr-5  ,45-60 cm,Clay,V5.Ctr,Clay-V5-Ctr,4793.868322
