Sample.ID,Interval,Texture,Stage,Combo,TMX,,,,,,,,,,,,,
kf-v5-ctr-2,30-45 cm,Clay,V5.Ctr,Clay-V5-Ctr,0.81,,,,,,,,,,,,,
kf-v5-ctr-4,30-45 cm,Clay,V5.Ctr,Clay-V5-Ctr,1.63,,,,,,,,,,,,,
kf-v5-ctr-5  ,30-45 cm,Clay,V5.Ctr,Clay-V5-Ctr,3.75,,,,,,,,,,,,,
nk-v1-1,45-60 cm,Sand,V1,Sandy-V1,0.352564309,,,,,,,,,,,,,
nk-v1-2,45-60 cm,Sand,V1,Sandy-V1,0.221137285,,,,,,,,,,,,,
nk-v1-3,45-60 cm,Sand,V1,Sandy-V1,0.347224578,,,,,,,,,,,,,
nk-v1-4,45-60 cm,Sand,V1,Sandy-V1,0.262833617,,,,,,,,,,,,,
nk-v3-1,45-60 cm,Sand,V3,Sandy-V3,0.237591941,,,,,,,,,,,,,
nk-v3-2,45-60 cm,Sand,V3,Sandy-V3,0.16576742,,,,,,,,,,,,,
nk-v3-3,45-60 cm,Sand,V3,Sandy-V3,0.260897658,,,,,,,,,,,,,
nk-v3-4,45-60 cm,Sand,V3,Sandy-V3,0.202126721,,,,,,,,,,,,,
nk-v5-2,45-60 cm,Sand,V5,Sandy-V5,0.325374869,,,,,,,,,,,,,
nk-v5-3,45-60 cm,Sand,V5,Sandy-V5,0.411664628,,,,,,,,,,,,,
nk-v5-4,45-60 cm,Sand,V5,Sandy-V5,0.164897763,,,,,,,,,,,,,
nk-v5-5,45-60 cm,Sand,V5,Sandy-V5,0.282426599,,,,,,,,,,,,,
nk-v5-ctr-1,45-60 cm,Sand,V5.Ctr,Sandy-V5-Ctr,0.100103985,,,,,,,,,,,,,
nk-v5-ctr-2,45-60 cm,Sand,V5.Ctr,Sandy-V5-Ctr,0.096696085,,,,,,,,,,,,,
nk-v5-ctr-3,45-60 cm,Sand,V5.Ctr,Sandy-V5-Ctr,0.29147064,,,,,,,,,,,,,
nk-v5-ctr-4,45-60 cm,Sand,V5.Ctr,Sandy-V5-Ctr,1.100060294,,,,,,,,,,,,,
nk-v5-ctr-5,45-60 cm,Sand,V5.Ctr,Sandy-V5-Ctr,0.9,,,,,,,,,,,,,
kf-v1-1,45-60 cm,Clay,V1,Clay-V1,0.268150132,,,,,,,,,,,,,
kf-v1-2,45-60 cm,Clay,V1,Clay-V1,0.193742145,,,,,,,,,,,,,
kf-v1-3,45-60 cm,Clay,V1,Clay-V1,0.166695248,,,,,,,,,,,,,
kf-v1-4,45-60 cm,Clay,V1,Clay-V1,0.180485683,,,,,,,,,,,,,
kf-v3-2,45-60 cm,Clay,V3,Clay-V3,0.10,,,,,,,,,,,,,
kf-v3-3,45-60 cm,Clay,V3,Clay-V3,0.14,,,,,,,,,,,,,
kf-v3-4,45-60 cm,Clay,V3,Clay-V3,0.11,,,,,,,,,,,,,
kf-v5-1  ,45-60 cm,Clay,V5,Clay-V5,2.22,,,,,,,,,,,,,
